,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
nucleicAcidSource,nucleicAcidSource,NucleicAcidSource,"Specifies the type of nucleic acid (DNA, RNA, Pooled, etc.) found in a sample.",True,,"['sorted cells', 'bulk nuclei', 'bulk cell', 'sorted nuclei', 'Other', 'Unknown', 'single nucleus', 'mitochondria', 'Not applicable', 'single cell', 'Not collected']",,BiospecimennonHuman
specimenIdSource,specimenIdSource,SpecimenIdSource,"The repository or database to which a specimenID maps; or, the group or lab that generated the specimen. For cell culture studies, the commercial source or lab that generated the cells.",False,,,,BiospecimennonHuman
specimenAge,specimenAge,SpecimenAge,The subject's age at the time of specimen extraction is the individual's age (since birth) at the time a given specimen was extracted. Measured as age in years.,True,,,,BiospecimennonHuman
specimenSource,specimenSource,SpecimenSource,Indicate the biological area of the specimen,True,,"['vein endothelial cell', 'vasa recta ascending limb cell', 'kidney afferent arteriole endothelial cell', 'capillary endothelial cell', 'glomerular capillary endothelial cell', 'kidney efferent arteriole endothelial cell', 'placental villus capillary endothelial cell', 'Not collected', 'kidney capillary endothelial cell', 'endothelial cell of sinusoid', 'Not applicable', 'vasa recta descending limb cell', 'endothelial cell of arteriole', 'vasa recta cell', 'Other', 'endothelial cell of high endothelial venule', 'alveolar capillary type 2 endothelial cell', 'endothelial cell of artery', 'blood vessel endothelial cell', 'endometrial microvascular endothelial cell', 'Unknown', 'pulmonary capillary endothelial cell', 'alveolar capillary type 1 endothelial cell', 'vein endothelial cell of respiratory system', 'endothelial cell of venule', 'peritubular capillary endothelial cell']",,BiospecimennonHuman
assay,assay,Assay,The analysis or technology used to generate the data in this file,True,,"['UPLC-ESI-QTOF-MS', 'polymeraseChainReaction', 'in vivo bioluminescence', 'scirnaSeq', 'MIB/MS', 'elevated T maze apparatus method', 'scale', 'tractionForceMicroscopy', 'lncrnaSeq', 'questionnaire', 'autoradiography', 'UPLC-MSMS', 'TMT quantitation', 'scwholeGenomeSeq', 'von Frey test', 'immunofluorescence', 'high content screen', 'mRNAcounts', 'westernBlot', 'active avoidance learning behavior', '10x multiome', 'CITESeq', 'open field test', 'locomotor activation behavior', 'NOMe-Seq', 'methylationArray', 'lentiMPRA', 'kinesthetic behavior', 'Positron Emission Tomography', 'cellViabilityAssay', 'jumpingLibrary', 'Rader Lipidomics', 'pharmacokinetics', 'wheel running', 'scCGIseq', 'sandwich ELISA', 'MDMS-SL', 'FitBark', 'Biocrates Q500', 'UCSD Untargeted Metabolomics', 'ATACSeq', 'DIA', '16SrRNAseq', 'electrochemiluminescence', 'genotyping', 'spontaneous alternation', 'Wishart Catecholamines', 'Ribo-Seq', 'elevated plus maze test', 'scrnaSeq', 'atomicForceMicroscopy', 'Metabolon', 'ISOSeq', 'FIA-MSMS', 'nextGenerationTargetedSequencing', 'SiMoA', 'Blood Chemistry Measurement', 'DNA optical mapping', 'bisulfiteSeq', 'wholeGenomeSeq', 'Biocrates p180', 'STARRSeq', 'Biocrates Bile Acids', 'mirnaArray', 'immunohistochemistry', 'frailty assessment', 'm6A-rnaSeq', 'rnaArray', 'brightfieldMicroscopy', 'ELISA', 'LC-MSMS', 'HI-C', 'contextual conditioning behavior', 'snrnaSeq', 'memory behavior', 'scATACSeq', 'CUT&Tag', 'Zeno Electronic Walkway', 'anxiety-related behavior', 'liquid chromatography-electrochemical detection', 'microRNAcounts', 'whole-cell patch clamp', 'LFP', 'Sanger sequencing', 'ChIPSeq', 'HiChIPseq', 'pharmacodynamics', 'Laser Speckle Imaging', 'mirnaSeq', 'LTP', 'HPLC', 'snATACSeq', 'LC-SRM', 'label free mass spectrometry', 'exomeSeq', 'long-read rnaSeq', 'novelty response behavior', 'Immunocytochemistry', 'Vernier Caliper', 'LC-MS', 'oxBS-Seq', 'snpArray', 'RPPA', 'errBisulfiteSeq', 'MRI', 'rotarod performance test', 'Baker Lipidomics', 'MudPIT', 'rnaSeq', 'photograph', 'UC Davis GCTOF', 'Wishart High Value Metabolites', 'proximity extension assay', 'HPLC-MSMS', 'Nightingale NMR', 'Real Time PCR']",,BiospecimennonHuman
isPostMortem,isPostMortem,IsPostMortem,Was the sample taken after death (true/false),True,,"['Uknown', 'Other', 'TRUE', 'FALSE', 'Not applicable', 'Not collected']",,BiospecimennonHuman
Component,Component,Component,TBD,False,,,,BiospecimennonHuman
laboratoryProcedure,laboratoryProcedure,LaboratoryProcedure,Procedure by which the Specimen was derived from Parent Specimen (if applicable),False,,,,BiospecimennonHuman
dataGenerationSite,dataGenerationSite,DataGenerationSite,The place where data from a particular specimen was generated.,False,,,,BiospecimennonHuman
individualID,individualID,IndividualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,,,,BiospecimennonHuman
tissue,tissue,Tissue,Indicate the tissue the specimen is from,True,,"['Laryngeal Mucosa', 'Prostatic Muscular Tissue', 'Ependyma and Remnants of the Central Canal of the Spinal Cord', 'Brain Gray Matter', 'Lymph Node Cortex', 'Posterior Pigment Epithelium', 'Mucosa of the Lower Lip', 'Bronchus-Associated Lymphoid Tissue', 'Visceral Pleura', 'Non-Valve Cardiac Conduit Tissue', 'Gastric Tissue', 'Small Intestinal Submucosa', 'Thymic Lobule', 'Tunica Intima', 'Connective Tissue', 'Bronchus Elastic Tissue', 'Trachea Lamina Propria', 'Retinal Pigment Epithelium', 'Glomerular Basement Membrane', 'Ganglionic Layer of the Cerebral Cortex', 'Aorta Endothelium', 'Secondary Tympanic Membrane', 'Ganglion Cell Layer', 'Sheath of Schwann', 'Prostatic Duct Tissue', 'Spinal Meninges', 'Membrane', 'Endosteum', 'Reproductive Tissue', 'Cerebellum White Matter', 'External Elastic Membrane', 'Visceral Striated Muscle Tissue', 'Cerebral Meninges', 'Inner Membrane Amniotic Membrane Tissue', 'Nasal Mucosa', 'Tracheal Epithelium', 'Penis Erectile Tissue', 'Vaginal Squamous Epithelium', 'Serosa', 'Paranasal Sinus Epithelium', 'Meninges', 'Transitional Zone of the Prostatic Parenchyma', 'Inner Plexiform Layer', 'Intestinal Serosal Surface', 'Spinal Cord Dura Mater', 'Submucosa', 'Myocardium', 'Cortical Bone', 'Arterial System Smooth Muscle Tissue', 'Vena Cava Endothelium', 'Cervix Glandular Epithelium', 'Non-Cellular Component', 'Gingival Epithelium', 'Peyer Patch Lymphoid Follicle', 'Fourth Ventricle Ependyma', 'Oral Mucosa', 'Prostatic Tissue', 'Enamel', 'Demineralized Bone Tissue', 'Alveolar Septum', 'Inner Limiting Membrane', 'Membrane of the Brain or Spinal Cord', 'Mucosa', 'Cuboidal Epithelium', 'Uterus Serosal Surface', 'Lymphatic Vessel Endothelium', 'Tonsillar Lymphoid Tissue', 'Left Lung Alveolar Duct', 'Pigment Epithelium', 'Fibrocartilage', 'Liver Acinus', 'Lymph Node Subcapsular Sinus', 'Lymph Node Medullary Portion', 'Small Intestinal Muscularis Mucosa', 'Abdominal Peritoneum', 'Laryngeal Epithelium', 'Artery Endothelium', 'Splenic Trabecula', 'Trachea Basement Membrane', 'Endometrial Tissue', 'Hepatobiliary Tissue', 'Arteriole Smooth Muscle Tissue', 'Paratesticular Soft Tissue', 'Brain Arachnoid Membrane', 'Gallbladder Smooth Muscle Tissue', 'Extracapsular Tissue', 'Pseudostratified Columnar Epithelium', 'Islet of Langerhans', 'Esophageal Tissue', 'Gut-Associated Lymphoid Tissue', 'Thyroid Gland Epithelial Tissue', 'Adipose Tissue', 'Peripheral Nerve Sheath', 'Bronchus Connective Tissue', 'Corpus Callosum', 'Simple Columnar Epithelium', 'Gastric Submucosa', 'Pyramid of Ferrein', 'Epidermis', 'Hepatic Sinusoid', 'Large Intestinal Lamina Propria', 'Placenta Tissue without Amniotic Elements', 'Lamina Propria', 'Arteriole Endothelium', 'Outer Nuclear Layer', 'Cementum', 'Hematopoietic and Lymphoid Tissue', 'Internal Granular Layer of the Cerebellum', 'Small Intestinal Mucosa', 'Nasal Cavity Epithelium', 'Germinal Center', 'Perineural Tissue', 'Perisinusoidal Space', 'Pancreatic Acinus', 'Tunica Adventitia', 'Esophageal Epithelium', 'Blood Vessel Endothelium', 'Embryonic Connective Tissue', 'Thyroid Gland Follicle', 'Bronchus Basement Membrane', 'Endocervical Glandular Epithelium', ""Hassall's Corpuscle"", 'Nerve Sheath', 'Ovarian Cortex', 'Papillary-Reticular Dermal Interface', 'Dental Pulp', 'Internal Elastic Membrane', 'Venule Endothelium', 'Artery Smooth Muscle Tissue', 'Splenic Pulp', 'Suprachorioid Lamina', 'Portal Lobule', 'Corneal Endothelium', 'Genital Tubercle', 'Extracellular Matrix', 'Urachal Epithelium', 'Pyramid of Malpighi', 'Gut Epithelium', 'Mediastinal Pleura', 'Esophageal Muscularis Mucosa', 'Ovarian Surface Epithelium', 'Ocular Tissue', 'Endoneurium', 'Gastric Mucosa', 'Esophageal Serosal Surface', 'Alveolar Duct', 'Crypt Epithelium', 'Spinal Cord Arachnoid Membrane', 'Molecular Layer of the Cerebellum', 'Endothelium', 'Bladder Mucosa', 'Lactiferous Duct', 'Gallbladder Serosal Surface', 'Marginal Zone', 'Reticular Dermis', 'Mammary Epithelium', 'Papillary Dermis', 'Laryngeal Connective Tissue', 'Parathyroid Gland Follicle', 'Tympanic Membrane', 'Pseudostratified Epithelium', 'Tunica Media', 'Transitional Epithelium', 'Inner Enamel Epithelium', 'Seminal Vesicle Epithelium', 'Adrenal Medulla', 'Rathke Pouch Epithelium', 'Endocrine Reproductive Tissue', 'Pleura', 'Purkinje Cell Layer of the Cerebellum', 'Gray Matter of the Spinal Cord', 'Seminiferous Epithelium', 'Mesonephric Remnants', 'Ciliary Epithelium', 'Splenic Marginal Sinus', 'Thymic Epithelial Tissue', 'Renal Tubule Basement Membrane', 'Substantia Nigra', 'Upper Gingiva', 'Molecular Layer of the Cerebral Cortex', 'Juxtaglomerular Apparatus', 'Bladder Lamina Propria', 'Multiform Cell Layer of the Cerebral Cortex', 'and Nerve Sheaths', 'Paraxial Mesoderm', 'Right Lung Alveolar Duct', 'Lymphoid Tissue', 'Pseudostratified Columnar Ciliated Epithelium', ""Descemet's Membrane"", 'Nasal Soft Tissue', 'Gingival Mucosa', 'White Matter of the Spinal Cord', 'Vascular Smooth Muscle Tissue', 'Nerve Tissue', 'Muscularis Mucosa', 'Lymphoid Follicle', 'Nodular Parenchymal Tissue', 'Bronchus Lamina Propria', 'Oropharyngeal Tissue', 'Palpebral Conjunctiva', 'Respiratory Bronchiole Epithelium', 'Oropharyngeal Lymphoid Tissue', 'Dura Mater', 'Hematopoietic Tissue', 'Conjunctival Epithelium', 'Large Intestinal Muscularis Mucosa', 'Myelin Sheath', 'Gastric Muscularis Mucosa', 'Urothelium', 'Granular Layer of the Cerebellum', 'Bladder Urothelium', 'Germinative Follicular Epithelium', 'Inner Nuclear Layer', 'Mucosa-Associated Lymphoid Tissue', 'Meningeal Layer of the Dura Mater', 'Terminal Ductal Lobular Unit', 'Germinal Layer', 'Renal Tubule Epithelium', 'Thymic Tissue', 'Interfollicular Area of the Lymph Node', 'Buccal Mucosa', 'Cerebral White Matter', 'Intraparenchymal', 'Alveolar Epithelium', 'Epithelial Tissue', 'Peripheral Zone of the Prostatic Parenchyma', 'Bronchiole Epithelium', 'Other', 'Choroid Plexus Epithelium', 'Brain White Matter', 'Esophageal Mucosa', 'Large Intestinal Muscular Coat', 'Thyroid Gland Tissue', 'Bone Matrix', 'Odontogenic Tissue', 'Spinal Cord Pia Mater', 'Smooth Muscle Tissue', 'Dermo-Epidermal Junction', 'Portal Triad', 'Peritoneum', 'Stroma', 'Esophageal Squamous Epithelium', 'Ovarian Medulla', 'Neural Retina', 'Bronchial Epithelium', 'Renal Pyramid', 'Prepuce Epithelium', 'Aorta Smooth Muscle Tissue', 'Squamous Epithelium', 'Bronchus Smooth Muscle Tissue', 'Thymus Cortex', 'Columnar Epithelium', 'Superficial Myometrium', 'Endothelium of the Glomerular Capillary', 'Stratified Epithelium', 'Parathyroid Gland Epithelial Tissue', 'Mucous Connective Tissue', 'Iliotibial Band', 'Cervix Epithelium', 'Medullary Bone', 'Pulmonary Lobule', 'Neuropil', 'Venous System Endothelium', 'Periosteum', 'Ciliated Respiratory Mucosa', 'Esophageal Lamina Propria', 'Fascicle', 'Heart Valve Tissue', 'Dermis', 'Choroid', 'Salivary Gland Tissue', 'Urethra Epithelium', 'Lateral Ventricle Ependyma', 'Duodenal Mucosa', 'Bone Tissue', 'Parathyroid Gland Tissue', 'Brain Dura Mater', 'Cartilage Matrix', 'Choroid Plexus Epithelium of the Lateral Ventricle', 'Loose Connective Tissue', 'Mesothelium', 'Bile Duct Epithelium', 'Bone Trabeculae', 'Accessory Tissue', 'Nephron', 'Neuroectoderm', 'Splenic Cord', 'Vaginal Epithelium', 'Subserosa', 'Outer Plexiform Layer', 'Leptomeninges', 'Small Intestinal Serosal Surface', 'External Pyramidal Cell Layer of the Cerebral Cortex', 'Fibrous Tissue', 'Myometrium', 'Bladder Muscular Coat', 'Lymphatic Vessel Smooth Muscle Tissue', 'Conjunctiva', 'Intestinal Mucosa', 'Irregular Dense Connective Tissue', 'Basilar Membrane of the Membranous Canal of the Cochlea', 'Periurethral Zone of the Prostatic Parenchyma', 'Bronchus Submucosa', 'Endometrium', 'Membrane of Reissner', 'Urethra Urothelium', 'Embryonic Tissue', 'Hepatic Lobule', 'Lymph Node Germinal Center', 'Bladder Muscularis Mucosa', 'Splenic Sinus', 'Soft Tissue', 'Arterial System Endothelium', 'Tongue Epithelium', 'Pineal Parenchyma', 'Mantle Zone', 'Mature Bone', 'Nerve Tissue and Nerve Sheaths', 'Olfactory Epithelium', 'Hepatic Tissue', 'Synovial Membrane', 'Intestinal Epithelium', 'Perforating Canal', 'Epineurium', 'Joint Capsule', 'Splenic Marginal Zone', 'Splenic Tissue', 'Dense Connective Tissue', 'Lamella of Harvesian System', 'Trachea Submucosa', 'Ventricular Wall of the Heart', 'Periodontium', 'Mesenchyme', 'Stratified Columnar Epithelium', 'Large Intestinal Mucosa', 'Small Intestinal Lamina Propria', 'Adrenal Gland Tissue', 'Anal Mucosa', 'Outer Enamel Epithelium', 'Stratified Squamous Epithelium', 'Parametrium', 'Cortical Cell Layer of the Cerebral Cortex', 'Vein Endothelium', 'Nasopharynx Epithelium', 'Pericardium', 'Perineurium', 'Gallbladder Epithelium', 'Simple Cuboidal Epithelium', 'Venous System Smooth Muscle Tissue', 'Gastric Muscular Coat', 'Tongue Skeletal Muscle Tissue', 'Fat Pad', 'Surface Ectoderm', ""Bowman's Membrane"", 'Efferent Ductule Epithelium', 'Esophageal Muscular Coat', 'External Granular Layer of the Cerebral Cortex', 'Bile Duct Tissue', 'Nasal Cavity Respiratory Epithelium', 'Thymic Trabecula', 'Renal Cortex', 'Neuroepithelial Tissue', 'Peyer Patch Germinal Center', 'Breast Fibroglandular Tissue', 'Intestinal Wall Tissue', 'Small Intestinal Muscular Coat', 'Brown Adipose Tissue', 'Retina Layer', 'Gubernaculum Testis', 'Connective Tissue Component of the Peripheral Nerve', 'Seminiferous Tubule', 'Connective and Soft Tissue', 'Ovarian Tissue', 'Splenic Red Pulp', 'Duct Salivary Gland System', 'Gallbladder Lamina Propria', 'Endocervical Mucosa', 'Immature Bone', 'Small Intestinal Wall Tissue', 'Deep Gray Matter', 'Odontogenic Epithelium', 'Digestive System Lamina Propria', 'Acinar Salivary Gland System', 'Cervix Squamous Epithelium', 'Dermal Papilla', 'Subependymal Tissue', 'Lymph Node Tissue', 'Intermediate Mesoderm', 'Waldeyer Ring', 'Layer of the Rods and Cones', 'Mammary Gland Tissue', 'Extrahepatic Bile Duct Epithelium', 'Bladder Tissue', 'Blood Vessel Tissue', 'Peyer Patch', 'Mediastinal Soft Tissue', 'Epithelium', 'Oral Cavity Epithelium', 'Large Intestinal Serosal Surface', 'Subcutis', 'Simple Squamous Epithelium', 'Alveolar Sac', 'Classic Lobule', 'Terminal Bronchiole Epithelium', 'Simple Epithelium', 'Gray Matter', 'Lung Tissue', 'Remnants of the Notochord', 'Mesangium', 'Oropharynx Epithelium', 'Remnants of the Central Canal of the Spinal Cord', 'Gingiva', 'Tonsillar Tissue', 'Renal Pelvis Urothelium', 'Thymic Lymphoid Tissue', 'Not collected', 'Hyaline Cartilage', 'Vascular Endothelium', 'Mucosa of the Upper Lip', 'Cortical Cell Layer of the Cerebellum', 'Bladder Serosal Surface', 'Muscle Layer', 'Dentin', 'Basilar Membrane', 'Fibroadipose Tissue', 'Striated Muscle Tissue', 'White Matter', 'Choristoma', 'Arachnoid Membrane', 'Lateral Mesoderm', 'Serosal Surface of the Liver', 'Unknown', 'Germinal Epithelium', 'Corneal Epithelium', 'Mesoderm', 'Parietal Pleura', 'Pelvic Peritoneum', 'Haversian System', 'Ectoderm', 'Splenic Germinal Center', 'Periarteriolar Lymphoid Sheath', 'Foramen Apicis Dentis', 'Prostatic Stroma', 'Haversian Canal', 'White Adipose Tissue', 'Osteoid', 'Glandular Epithelial Tissue', 'Lymph Node Sinus', 'Endoderm', 'Lower Gingiva', 'Large Intestinal Submucosa', 'Umbilical Cord Tissue', 'Regular Dense Connective Tissue', 'Brain Pia Mater', 'Gastric Serosal Surface', 'Capillary Endothelium', 'Renal Medulla', 'Prefrontal Cortex', 'Marginal Zone of the Lymph Node', 'Ependyma', 'Eyelid Connective Tissue', 'Skin Tissue', 'Vas Deferens Epithelium', 'Muscle Tissue', 'Testicular Tissue', 'Renal Interstitial Tissue', 'Ductal Epithelium', 'Subcapsular Epithelium of the Lens', 'Tympanic Epithelium', 'Intestinal Smooth Muscle Tissue', 'Outer Limiting Membrane', 'Splenic White Pulp', 'Cardiac Tissue', 'Central Zone of the Prostatic Parenchyma', 'Thymus Medulla', 'Episclera', 'Olfactory Mucosa', 'Trachea Smooth Muscle Tissue', 'Colonic Mucosa', 'Glandular Epithelium', 'Mucosa of the Lip', 'Cartilaginous Tissue', 'Layer of the Ophthalmic Nerve Fibers', 'Skeletal Muscle Tissue', 'Neuroendocrine Tissue', 'Lymph Node Lymphoid Follicle', 'Internal Granular Layer of the Cerebral Cortex', 'Splenic Lymphoid Follicle', 'Pia Mater', 'Connective Tissue Proper', 'Not applicable', 'Parenchyma', 'Prostatic Epithelium', 'Periorbital Soft Tissue', 'Oropharyngeal Soft Tissue', 'Ectocervical Mucosa', 'Tectorial Membrane', 'Canalis Radicis Dentis', 'Cortical Cell Layer', 'Renal Tissue', 'Odontogenic Ectomesenchyme', 'Bulbar Conjunctiva', 'Choroid Plexus Epithelium of the Fourth Ventricle', 'Eyelid Subcutaneous Connective Tissue', 'Stratified Cuboidal Epithelium', 'Large Intestinal Wall Tissue', 'Adrenal Cortex', 'Elastic Cartilage', 'Lymph Node Trabecula', 'Intrahepatic Bile Duct Epithelium', 'Basement Membrane']",,BiospecimennonHuman
specimenType,specimenType,SpecimenType,Type of biological material comprising the Specimen,True,,"['Urine', 'tissue', 'blood', 'organoid', 'Other', 'Unknown', 'Serum', 'Plasma', 'swabs', 'Not collected', 'stool', 'Cerebrospinal Fluid (CSF)', 'Not applicable', 'Saliva', 'Sputum']",,BiospecimennonHuman
samplingAge,samplingAge,SamplingAge,"The calculated age of the sample, measurement is determined or coded by the data contributor. ",True,,,,BiospecimennonHuman
specimenID,specimenID,SpecimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",True,,,,BiospecimennonHuman
tissueVolume,tissueVolume,TissueVolume,The volume of the tissue sample. Measured in microliters.,True,,"['Not applicable', 'Unknown', 'Not collected']",,BiospecimennonHuman
fastingState,fastingState,FastingState,Was individual fasting when the sample was taken (true/false),True,,"['Uknown', 'Other', 'TRUE', 'FALSE', 'Not applicable', 'Not collected']",,BiospecimennonHuman
parentSpecimenType,parentSpecimenType,ParentSpecimenType,Type of biological material comprising the Parent Specimen (if applicable),False,,,,BiospecimennonHuman
reagentLotNumber,reagentLotNumber,ReagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,False,True,," If Assay is ""genotyping"" then ""reagentLotNumber"" is required",BiospecimennonHuman
treatmentID(s),treatmentID(s),TreatmentID(s),"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,True,," If Assay is ""genotyping"" then ""treatmentID(s)"" is required",BiospecimennonHuman
treatmentTemperatureUnit,treatmentTemperatureUnit,TreatmentTemperatureUnit,Unit of treatment temperature,False,True,"['F', 'K', 'C', 'Not Specified', '']"," If Assay is ""genotyping"" then ""treatmentTemperatureUnit"" is required",BiospecimennonHuman
specifyMeasurementTechnique,specifyMeasurementTechnique,SpecifyMeasurementTechnique,Value is determined by the data contributor,False,True,," If Assay is ""genotyping"" then ""specifyMeasurementTechnique"" is required",BiospecimennonHuman
treatmentAmountValue,treatmentAmountValue,TreatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",False,True,," If Assay is ""genotyping"" then ""treatmentAmountValue"" is required",BiospecimennonHuman
treatmentDurationUnit,treatmentDurationUnit,TreatmentDurationUnit,Unit of treatment duration,False,True,"['Seconds', 'Weeks', 'Months', 'Not Specified', 'Days', 'Minutes', 'Years', 'Hours', 'd.p.c.', '']"," If Assay is ""genotyping"" then ""treatmentDurationUnit"" is required",BiospecimennonHuman
treatmentAmountUnit,treatmentAmountUnit,TreatmentAmountUnit,Unit of treatment amount,False,True,"['iu/l', 'pM', 'DK units/ml', 'pg/nl', 'ng/nl', 'kg', 'mg/dl', 'miu/ml', 'Kallikrein Inactivator Unit per Milliliter', 'AFU', 'Pound', 'ml', 'pg/ml', 'gm', 'TCID50', 'IU', 'ug/ml', 'IU/ml', 'ng/ml', 'NPX', 'mg', 'pg/ul', 'M', 'ug', 'umol/l', 'units/ml', 'AU/ml', 'ng/ul', 'PFU', 'HAU', 'uiu/ml', 'Not Specified', 'ug/ul', 'ng', 'MOI', 'g/l', 'pg', 'PFUe', 'pl', 'mM', 'ul', 'nM', 'mg/l', 'mg/ml', 'ng/dl', 'l', 'g/dl', 'optical density', 'uM', 'nl', 'pg/mg creatinine', 'ug/l', 'ug/dl', 'AI', '']"," If Assay is ""genotyping"" then ""treatmentAmountUnit"" is required",BiospecimennonHuman
treatmentName,treatmentName,TreatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  Treatment name is an alternate identifier to the Treatment ID ",False,True,," If Assay is ""genotyping"" then ""treatmentName"" is required",BiospecimennonHuman
treatmentDurationValue,treatmentDurationValue,TreatmentDurationValue,Duration of treatment,False,True,," If Assay is ""genotyping"" then ""treatmentDurationValue"" is required",BiospecimennonHuman
reagentWeblink,reagentWeblink,ReagentWeblink,An internet address that may provide details of an assay reagent.,False,True,," If Assay is ""genotyping"" then ""reagentWeblink"" is required",BiospecimennonHuman
useTreatment,useTreatment,UseTreatment,Was a treatment applied to the sample,False,True,"['YesUseTreatment', 'No', '']"," If Assay is ""genotyping"" then ""useTreatment"" is required",BiospecimennonHuman
treatmentTemperatureValue,treatmentTemperatureValue,TreatmentTemperatureValue,Value of treatment temperature,False,True,," If Assay is ""genotyping"" then ""treatmentTemperatureValue"" is required",BiospecimennonHuman
reagentName,reagentName,ReagentName,The reagent name is an alternative to the Reagent ID,False,True,," If Assay is ""genotyping"" then ""reagentName"" is required",BiospecimennonHuman
specifySampleType,specifySampleType,SpecifySampleType,Value is determined by the data contributor,False,True,," If Assay is ""genotyping"" then ""specifySampleType"" is required",BiospecimennonHuman
sampleType,sampleType,SampleType,The type of sample collected,False,True,"['Small intestine', 'DNA', 'B cell', 'Nasal lavage fluid', 'Cervical lymph nodes', 'Brachial lymph node', 'Bone', 'NK cell', 'Ileum', 'Dried Blood Spot', 'brain', 'PBMC', 'Osteoblasts', 'Vagina', 'Umbilical cord blood', 'PBL', 'Cell culture supernatant', 'Breast Milk', 'Endotracheal aspirate', 'Tumor Tissue', 'Jejunum', 'Nasopharyngeal Swab Specimen', 'Trachea', 'Leukocytes', 'Stomach', 'Cerebrospinal Fluid', 'Epithelium', 'Urinary bladder', 'Dermis', 'Popliteal lymph node', 'Synovial fluid', 'Protein', 'Synovial tissue', 'Fibroblast', 'Appendix', 'Bronchoalveolar Lavage Fluid', 'Optic Nerve', 'Pooled Sample', 'Feces', 'Carbohydrate', 'Red Blood Cell', 'Lymph node', 'Urine', 'Dendritic cell', 'Oropharyngeal Swab Specimen', 'Cord blood', 'Kidney', 'Nasal Swab or Nose Specimen', 'Placenta', 'Lung', 'Liver', 'Mesenteric lymph node', 'Nasal Swab', 'Amniotic Fluid', 'Lymphocyte', 'Pancreatic Stellate Cells', 'OtherSampleType', 'Salivary Glands', 'Plasma', 'Saliva', 'cell line', 'Spleen', 'Sputum', 'Negative Control', 'Organoids', 'Not Specified', 'Gastric lamina propria', 'Inguinal lymph node', 'Macrophage', 'Positive Control', 'Rectal Swab Specimen', 'Serum', 'Whole blood', 'Bone Marrow', 'Thymus', 'Basophils', 'Lung lymph node', 'Convalescent Plasma', 'Colon', 'Colonic Lamina Propria', 'Skin of body', 'Mouse Ear', 'Pancreas', 'Neutrophil', 'Monocyte', 'Tonsil', 'T cell', 'Lipid', '']"," If Assay is ""genotyping"" then ""sampleType"" is required",BiospecimennonHuman
reagentCatalogNumber,reagentCatalogNumber,ReagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",False,True,," If Assay is ""genotyping"" then ""reagentCatalogNumber"" is required",BiospecimennonHuman
reagentContact,reagentContact,ReagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,False,True,," If Assay is ""genotyping"" then ""reagentContact"" is required",BiospecimennonHuman
reagentID(s),reagentID(s),ReagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,True,," If Assay is ""genotyping"" then ""reagentID(s)"" is required",BiospecimennonHuman
useReagent,useReagent,UseReagent,Was a reagent applied to the sample,False,True,"['No', 'YesUseReagent', '']"," If Assay is ""genotyping"" then ""useReagent"" is required",BiospecimennonHuman
Filename,Filename,Filename,Name of the file. This helps to link annotations from metadata files.,False,True,," If Assay is ""genotyping"" then ""Filename"" is required",BiospecimennonHuman
reagentManufacturer,reagentManufacturer,ReagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",False,True,," If Assay is ""genotyping"" then ""reagentManufacturer"" is required",BiospecimennonHuman
speciesName,speciesName,SpeciesName,"The scientific name of the species (typically a taxonomic group, ex. ""Eremophila alpestris"") the individual belongs to.",True,,,,IndividualnonHuman
cohort,cohort,Cohort,Name of the cohort the individual belongs to,True,,"['Centenarian', 'US Family', 'Aging', 'and Body Composition Study (HealthABC)', 'Other', 'Denmark Family', 'Unknown', 'The Health', 'Cardiovascular Health Study (CHS)', 'The Osteoporotic Fractures in Men (MrOS) Study', 'Not applicable', 'Study of Osteoporotic Fractures (SOF)', 'Not collected']",,IndividualnonHuman
sex,sex,Sex,The biological sex of the individual,True,,"['Male', 'Other', 'Unknown', 'Female', 'Not applicable', 'Not collected']",,IndividualnonHuman
speciesAge,speciesAge,SpeciesAge,"Age of individual (formatted in months, ex. ""72 months""). note: Uncertainty about the age might require recording age by specifying a lower and upper estimate in months for the age of the animal.",True,,"['Not applicable', 'Unknown', 'Not collected']",,IndividualnonHuman
captivityDuration,captivityDuration,CaptivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.",False,,"['Not applicable', 'Unknown', 'Not collected', '']",,IndividualnonHuman
